time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446350000	16.8149	4.87018	4.6493	0.762387	0.410537	radar	14.6891	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9699	5.08371	4.69855	0.80617	0.438963	lidar	1.02671	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1589	5.20036	4.76666	0.793527	0.387503	radar	4.81118	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3167	5.39269	4.78765	0.822765	0.399393	lidar	0.162671	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4925	5.50658	4.68087	0.816163	0.370087	radar	6.46235	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.666	5.65315	4.65657	0.821565	0.354448	lidar	0.780951	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8105	5.83837	4.55841	0.852188	0.377417	radar	1.52532	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9609	6.04434	4.59937	0.884048	0.393309	lidar	2.11796	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1105	6.25811	4.78754	0.90765	0.385996	radar	4.26588	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2351	6.51261	4.86215	0.956841	0.421797	lidar	1.44269	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3639	6.73404	4.85771	0.990589	0.44024	radar	0.893582	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5137	6.88339	4.78633	0.987519	0.410794	lidar	1.038	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.6648	7.08771	4.98049	0.991656	0.372939	radar	3.25651	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.8416	7.23377	4.89955	0.977497	0.33462	lidar	4.89908	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9372	7.44006	4.59311	1.02193	0.394797	radar	8.75734	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0293	7.7075	4.68757	1.07279	0.431614	lidar	1.68935	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.1633	7.89224	4.78866	1.0702	0.387578	radar	2.10006	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2589	8.12402	4.81688	1.1006	0.400277	lidar	0.815175	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3715	8.33384	4.89705	1.11004	0.376974	radar	2.32697	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4885	8.49703	4.81065	1.10733	0.351558	lidar	2.90151	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.584	8.69091	4.60688	1.13201	0.378634	radar	3.3324	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7147	8.86493	4.55543	1.131	0.35576	lidar	4.15903	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7858	9.09372	4.46363	1.17018	0.394186	radar	2.67186	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.8851	9.31478	4.48681	1.19107	0.396191	lidar	4.49845	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9347	9.54402	4.36138	1.23858	0.44875	radar	3.56777	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0038	9.7777	4.40324	1.26929	0.458832	lidar	1.97249	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.0567	10.0663	4.77289	1.29349	0.423381	radar	26.2965	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1061	10.3374	4.84105	1.33024	0.441527	lidar	1.13042	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1124	10.6077	4.73426	1.3975	0.526688	radar	5.8816	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.1575	10.8614	4.76678	1.42717	0.530693	lidar	3.22782	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.1783	11.1503	4.99491	1.45067	0.496653	radar	15.2481	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2243	11.3729	4.94223	1.46431	0.484656	lidar	0.511916	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.1462	11.6825	4.7507	1.57669	0.66072	radar	27.9725	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.1997	11.8698	4.63109	1.58354	0.63297	lidar	8.7935	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.2761	12.0599	4.86259	1.52321	0.425118	radar	28.8654	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.2673	12.3466	4.9546	1.55712	0.438421	lidar	1.40167	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2183	12.5864	4.65519	1.6301	0.567028	radar	15.3505	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.2327	12.8005	4.60407	1.64735	0.555607	lidar	3.80634	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2493	12.9875	4.54023	1.65228	0.51922	radar	6.3154	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2284	13.2065	4.52675	1.67692	0.517653	lidar	0.125014	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2032	13.4408	4.61784	1.69229	0.484728	radar	2.14357	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.1666	13.7039	4.68645	1.72302	0.49267	lidar	2.88707	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1222	13.9183	4.57774	1.76186	0.535834	radar	2.77552	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0576	14.1828	4.66705	1.79841	0.547084	lidar	1.46671	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.9987	14.4125	4.69469	1.82241	0.53493	radar	1.13744	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8961	14.6899	4.82464	1.86457	0.55119	lidar	1.29325	19.781	14.773	19.934	14.6897	-1.30687	4.62805
